detect T,t_detect,keypoints,descr T,t_extract,matches,t_match,ttc_camera,ttc_lidar,t_total,imgNumber
FAST,1.45916,1849,BRIEF,8.1108,1714,8.38197,13.7533,12.8086,17.9519,0011
FAST,1.52693,1826,BRIEF,8.01413,1705,7.85817,10.974,8.95978,17.3992,0012
FAST,1.49425,1842,BRIEF,8.36162,1668,7.94667,12.3343,9.96439,17.8025,0013
FAST,1.55194,1833,BRIEF,7.9911,1688,8.00013,11.2431,9.59863,17.5432,0014
FAST,1.57423,1921,BRIEF,8.37259,1677,8.54246,11.8747,8.57352,18.4893,0015
FAST,1.54226,1934,BRIEF,8.46303,1752,9.52922,11.8398,9.51617,19.5345,0016
FAST,1.55424,1946,BRIEF,8.40303,1762,8.0639,7.92013,9.54658,18.0212,0017
FAST,1.4933,1961,BRIEF,8.48909,1763,8.02357,11.554,8.3988,18.006,0018
FAST,1.46721,1898,ORB,9.54457,1716,7.79944,11.0544,12.5156,18.8112,0001
FAST,1.51278,1865,ORB,9.49256,1759,8.50386,10.6351,12.6142,19.5092,0002
FAST,1.46678,1840,ORB,9.43312,1728,8.23084,13.4008,14.091,19.1307,0003
FAST,1.47233,1867,ORB,9.37599,1711,8.14187,12.7877,16.6894,18.9902,0004
FAST,1.41744,1876,ORB,9.45115,1723,8.15873,18.0923,15.9082,19.0273,0005
FAST,1.48123,1843,ORB,9.41589,1710,8.15193,12.9892,12.6787,19.049,0006
FAST,1.48666,1829,ORB,9.23165,1684,8.02413,12.4642,11.9844,18.7424,0007
FAST,1.46087,1843,ORB,9.35073,1660,7.57467,11.3522,13.1241,18.3863,0008
FAST,1.51342,1818,ORB,9.20715,1678,7.57473,12.1119,13.0241,18.2953,0009
FAST,1.64865,1879,ORB,9.61682,1652,7.21354,13.4169,11.1746,18.479,0010
FAST,1.4196,1849,ORB,9.35241,1699,7.79461,13.1,12.8086,18.5666,0011
FAST,1.55324,1826,ORB,9.30616,1687,7.85114,10.4239,8.95978,18.7105,0012
FAST,1.50635,1842,ORB,9.38083,1645,7.87553,12.0462,9.96439,18.7627,0013
FAST,1.54829,1833,ORB,9.37551,1659,7.70853,11.0103,9.59863,18.6323,0014
FAST,1.59597,1921,ORB,9.80079,1647,7.58255,11.4079,8.57352,18.9793,0015
FAST,1.50304,1934,ORB,9.62782,1722,8.39302,11.6,9.51617,19.5239,0016
FAST,1.5803,1946,ORB,9.41386,1736,8.51146,7.57979,9.54658,19.5056,0017
FAST,1.59875,1961,ORB,9.62646,1740,8.35091,10.5903,8.3988,19.5761,0018
FAST,1.60494,1898,FREAK,63.961,1749,9.32226,12.3,12.5156,74.8882,0001
